date,open,high,low,close,volume,amount,outstanding_share,turnover
2018-09-03,33.72,35.19,33.71,35.07,5882095.0,504925004.0,104198556.00000001,0.056450830278300584
2018-09-04,35.0,35.67,34.43,35.4,6519774.0,569657974.0,104198556.00000001,0.06257067516367501
2018-09-05,35.02,35.23,34.24,34.41,5032716.0,433729827.0,104198556.00000001,0.048299287372082195
2018-09-06,34.2,35.96,34.19,35.08,6902097.0,604105369.0,104198556.00000001,0.06623985269047297
2018-09-07,35.01,36.49,34.84,35.44,8573823.0,761404322.0,104198556.00000001,0.08228351072350752
2018-09-10,35.4,36.01,34.66,35.22,5465580.0,479899536.0,104198556.00000001,0.05245351000833447
2018-09-11,35.2,36.45,34.6,36.42,8291902.0,735725232.0,104198556.00000001,0.07957789741347278
2018-09-12,36.29,37.64,35.05,35.24,10417957.0,937545356.0,104198556.00000001,0.09998177901812765
2018-09-13,35.66,35.8,32.42,34.39,10892810.0,923276155.0,104198556.00000001,0.10453897268979427
2018-09-14,34.03,34.09,33.1,33.36,4778406.0,399145413.0,104198556.00000001,0.04585865854033524
2018-09-17,32.94,33.78,32.55,33.23,3350645.0,277021842.0,104198556.00000001,0.032156347732880286
2018-09-18,32.94,34.74,32.9,34.54,5462316.0,461125165.0,104198556.00000001,0.05242218519803671
2018-09-19,34.39,35.64,33.95,35.22,7220687.0,625407797.0,104198556.00000001,0.06929738066619655
2018-09-20,35.11,35.8,35.04,35.23,4020523.0,352486675.0,104198556.00000001,0.03858520841689975
2018-09-21,35.24,36.61,35.24,36.25,7194652.0,644621660.0,104198556.00000001,0.06904752115758686
2018-09-25,35.64,35.96,35.3,35.64,4528531.0,400293832.0,104198556.00000001,0.043460592678462834
2018-09-26,35.72,36.6,35.3,35.96,6879866.0,613153682.0,104198556.00000001,0.0660265004056294
2018-09-27,35.92,37.43,35.49,36.1,6805706.0,618253356.0,104198556.00000001,0.06531478228930541
2018-09-28,35.98,37.33,35.98,37.27,6317294.0,578003164.0,104198556.00000001,0.06062746205427261
2018-10-08,36.48,36.57,34.59,34.82,7081245.0,623928167.0,104198556.00000001,0.06795914714979351
2018-10-09,34.97,35.63,34.3,34.54,3908137.0,339742319.0,104198556.00000001,0.03750663300938642
2018-10-10,34.43,34.99,33.27,33.89,4700876.0,397162149.0,104198556.00000001,0.04511459832514377
2018-10-11,32.42,32.57,30.51,30.68,9307362.0,723831290.0,104198556.00000001,0.08932332997013892
2018-10-12,29.92,31.89,29.83,31.47,5417692.0,417342448.0,104198556.00000001,0.05199392590430907
2018-10-15,31.64,33.11,31.64,32.17,5173527.0,416392114.0,104198556.00000001,0.04965065926633378
2018-10-16,32.14,32.57,31.0,31.68,3773172.0,297757118.0,104198556.00000001,0.03621136553946102
2018-10-17,32.42,32.7,31.58,32.12,3867448.0,309303465.0,104198556.00000001,0.03711613815454409
2018-10-18,31.86,31.86,30.01,30.73,4117651.0,314571556.0,104198556.00000001,0.039517351852745436
2018-10-19,29.8,32.98,29.8,32.54,6303943.0,496440710.0,104198556.00000001,0.06049933167979794
2018-10-22,33.43,35.24,33.14,35.14,8080331.0,690763365.0,104198556.00000001,0.07754743741362403
2018-10-23,34.76,35.9,34.63,34.99,7420768.0,650101610.0,104198556.00000001,0.07121757042391258
2018-10-24,35.04,36.18,34.31,34.64,5501226.0,482713105.0,104198556.00000001,0.052795606879619324
2018-10-25,33.32,35.27,33.17,35.17,4731664.0,401266798.0,104198556.00000001,0.04541007266933718
2018-10-26,35.02,35.35,32.4,33.29,6831354.0,571172780.0,104198556.00000001,0.06556092773492944
2018-10-29,32.66,32.98,31.62,31.9,4260873.0,339489433.0,104198556.00000001,0.040891862263427135
2018-10-30,31.63,33.83,31.43,33.59,4636427.0,378505077.0,104198556.00000001,0.04449607727769279
2018-10-31,34.03,35.76,34.03,35.1,7086070.0,616253609.0,104198556.00000001,0.06800545297383967
2018-11-01,35.3,35.67,34.68,34.85,5461338.0,476881271.0,104198556.00000001,0.052412799271421756
2018-11-02,35.6,36.41,35.13,35.66,7414036.0,656789879.0,104198556.00000001,0.07115296300267346
2018-11-05,35.96,36.01,34.76,35.39,4897435.0,431103894.0,104198556.00000001,0.0470009872305716
2018-11-06,35.84,37.59,34.82,37.49,7401164.0,663302133.0,104198556.00000001,0.07102942962088649
2018-11-07,37.01,37.21,35.31,35.39,8181495.0,734131753.0,104198556.00000001,0.07851831459161486
2018-11-08,35.83,36.18,34.96,35.18,4390136.0,387765405.0,104198556.00000001,0.04213240728595125
2018-11-09,34.49,35.45,34.28,34.88,3538437.0,306987302.0,104198556.00000001,0.03395859919594279
2018-11-12,34.88,36.03,34.72,35.86,4209339.0,370012587.0,104198556.00000001,0.04039728727142821
2018-11-13,35.4,36.05,34.97,35.52,4610278.0,405033169.0,104198556.00000001,0.04424512370401754
2018-11-14,35.51,35.52,34.96,35.07,4232518.0,369473961.0,104198556.00000001,0.04061973757102737
2018-11-15,34.7,35.31,34.7,35.18,3797837.0,330676138.0,104198556.00000001,0.0364480770731602
2018-11-16,35.24,35.76,34.8,35.01,5997291.0,524530217.0,104198556.00000001,0.05755637342997343
2018-11-19,34.64,34.81,32.54,33.03,9669107.0,806813641.0,104198556.00000001,0.09279501915554375
2018-11-20,32.69,33.34,32.38,32.51,4446448.0,361970440.0,104198556.00000001,0.04267283704008335
2018-11-21,32.21,33.54,32.09,33.31,4941648.0,404908134.0,104198556.00000001,0.04742530213182608
